protocol,session,mode,payload,bytes,n,warmup_n,order_index,mean_us,p50_us,p95_us,p99_us,ci95_lo_us,ci95_hi_us
E2_armB_fixed_discarded,s3,approval,16KiB,16384,1000,200,5,36.018,28.579,33.646,61.769,28.510,28.696
E2_armB_fixed_discarded,s3,otp,128B,128,1000,200,6,11.550,11.467,11.823,13.203,11.460,11.474
E2_armB_fixed_discarded,s3,otp,1KiB,1024,1000,200,7,12.713,12.610,12.966,14.719,12.602,12.618
E2_armB_fixed_discarded,s3,otp,16KiB,16384,1000,200,8,29.616,28.359,30.819,53.293,28.345,28.377
E2_armB_fixed_discarded,s3,anon,128B,128,1000,200,9,13.398,13.307,13.889,15.608,13.285,13.322
E2_armB_fixed_discarded,s3,anon,1KiB,1024,1000,200,10,21.846,21.657,23.175,24.441,21.635,21.674
E2_armB_fixed_discarded,s3,anon,16KiB,16384,1000,200,11,161.099,155.024,214.673,251.455,154.656,155.337
E2_armB_fixed_discarded,s4,direct,128B,128,1000,200,0,12.167,11.869,13.046,19.093,11.840,11.887
E2_armB_fixed_discarded,s4,direct,1KiB,1024,1000,200,1,13.351,13.177,13.669,19.143,13.171,13.183
E2_armB_fixed_discarded,s4,direct,16KiB,16384,1000,200,2,46.059,31.601,50.843,77.422,31.259,32.367
E2_armB_fixed_discarded,s4,approval,128B,128,1000,200,3,12.517,12.151,15.606,19.173,12.126,12.180
E2_armB_fixed_discarded,s4,approval,1KiB,1024,1000,200,4,13.266,13.159,13.448,16.969,13.148,13.168
E2_armB_fixed_discarded,s4,approval,16KiB,16384,1000,200,5,38.247,29.830,47.253,59.334,29.806,29.861
E2_armB_fixed_discarded,s4,otp,128B,128,1000,200,6,20.555,21.708,23.134,26.488,21.568,21.812
E2_armB_fixed_discarded,s4,otp,1KiB,1024,1000,200,7,13.301,13.189,13.573,15.590,13.179,13.201
E2_armB_fixed_discarded,s4,otp,16KiB,16384,1000,200,8,30.693,29.688,32.333,40.364,29.674,29.702
E2_armB_fixed_discarded,s4,anon,128B,128,1000,200,9,13.946,13.813,14.302,17.448,13.801,13.830
E2_armB_fixed_discarded,s4,anon,1KiB,1024,1000,200,10,22.988,22.662,24.236,30.416,22.639,22.700
E2_armB_fixed_discarded,s4,anon,16KiB,16384,1000,200,11,163.928,162.457,171.233,193.647,162.179,162.749
E2_armB_fixed_discarded,s5,direct,128B,128,1000,200,0,12.728,12.302,16.617,20.912,12.282,12.314
E2_armB_fixed_discarded,s5,direct,1KiB,1024,1000,200,1,13.215,12.890,13.877,22.152,12.882,12.899
E2_armB_fixed_discarded,s5,direct,16KiB,16384,1000,200,2,36.582,29.055,32.037,48.024,29.041,29.072
E2_armB_fixed_discarded,s5,approval,128B,128,1000,200,3,11.943,11.773,12.226,16.583,11.769,11.780
E2_armB_fixed_discarded,s5,approval,1KiB,1024,1000,200,4,13.044,12.893,13.259,16.633,12.885,12.903
E2_armB_fixed_discarded,s5,approval,16KiB,16384,1000,200,5,36.000,29.086,33.501,54.053,29.076,29.096
E2_armB_fixed_discarded,s5,otp,128B,128,1000,200,6,11.889,11.728,12.094,17.173,11.722,11.733
E2_armB_fixed_discarded,s5,otp,1KiB,1024,1000,200,7,13.466,12.935,16.603,22.902,12.925,12.944
E2_armB_fixed_discarded,s5,otp,16KiB,16384,1000,200,8,30.375,29.024,33.060,48.925,29.013,29.038
E2_armB_fixed_discarded,s5,anon,128B,128,1000,200,9,13.593,13.397,13.689,15.609,13.389,13.407
E2_armB_fixed_discarded,s5,anon,1KiB,1024,1000,200,10,22.635,22.224,24.147,29.218,22.209,22.248
E2_armB_fixed_discarded,s5,anon,16KiB,16384,1000,200,11,164.105,158.686,212.000,264.668,158.306,158.882
E2_armC_randomized_none,s1,direct,128B,128,1000,0,0,12.271,12.076,12.660,15.545,12.067,12.085
E2_armC_randomized_none,s1,approval,1KiB,1024,1000,0,1,13.361,13.102,14.232,21.182,13.073,13.119
E2_armC_randomized_none,s1,approval,128B,128,1000,0,2,12.171,12.042,12.324,14.659,12.037,12.049
E2_armC_randomized_none,s1,anon,1KiB,1024,1000,0,3,22.966,22.722,24.088,28.108,22.709,22.732
E2_armC_randomized_none,s1,anon,16KiB,16384,1000,0,4,165.107,161.069,171.606,235.429,160.901,161.281
E2_armC_randomized_none,s1,direct,16KiB,16384,1000,0,5,31.464,29.753,36.007,64.645,29.736,29.774
E2_armC_randomized_none,s1,anon,128B,128,1000,0,6,14.094,13.810,15.111,21.366,13.793,13.833
E2_armC_randomized_none,s1,otp,128B,128,1000,0,7,12.183,12.057,12.478,14.087,12.051,12.065
E2_armC_randomized_none,s1,otp,1KiB,1024,1000,0,8,13.335,13.190,13.561,16.807,13.181,13.196
E2_armC_randomized_none,s1,direct,1KiB,1024,1000,0,9,13.286,13.155,13.514,15.308,13.148,13.165
E2_armC_randomized_none,s1,otp,16KiB,16384,1000,0,10,31.103,29.707,31.924,63.975,29.693,29.724
E2_armC_randomized_none,s1,approval,16KiB,16384,1000,0,11,30.808,29.721,32.174,54.953,29.701,29.731
E2_armC_randomized_none,s2,anon,128B,128,1000,0,0,14.415,14.185,15.225,21.188,14.174,14.192
E2_armC_randomized_none,s2,otp,16KiB,16384,1000,0,1,33.709,29.893,35.314,70.870,29.857,29.936
E2_armC_randomized_none,s2,approval,128B,128,1000,0,2,12.205,12.017,12.617,16.401,12.011,12.026
E2_armC_randomized_none,s2,direct,16KiB,16384,1000,0,3,31.216,29.802,33.287,55.861,29.760,29.847
E2_armC_randomized_none,s2,approval,1KiB,1024,1000,0,4,13.482,13.377,13.722,16.936,13.356,13.383
E2_armC_randomized_none,s2,direct,128B,128,1000,0,5,12.370,12.115,12.531,16.963,12.108,12.123
E2_armC_randomized_none,s2,otp,1KiB,1024,1000,0,6,14.038,13.467,18.249,23.335,13.461,13.475
E2_armC_randomized_none,s2,direct,1KiB,1024,1000,0,7,13.761,13.344,18.028,20.524,13.328,13.358
E2_armC_randomized_none,s2,anon,1KiB,1024,1000,0,8,21.901,21.594,23.387,26.611,21.582,21.614
E2_armC_randomized_none,s2,anon,16KiB,16384,1000,0,9,157.689,154.311,166.045,217.094,154.041,154.551
E2_armC_randomized_none,s2,approval,16KiB,16384,1000,0,10,29.644,28.339,32.182,48.143,28.317,28.356
E2_armC_randomized_none,s2,otp,128B,128,1000,0,11,11.679,11.468,12.536,14.953,11.458,11.478
E2_armC_randomized_none,s3,approval,16KiB,16384,1000,0,0,37.441,29.032,33.007,94.969,29.013,29.050
E2_armC_randomized_none,s3,anon,128B,128,1000,0,1,13.914,13.774,14.219,18.048,13.763,13.783
E2_armC_randomized_none,s3,direct,16KiB,16384,1000,0,2,31.343,29.640,34.364,68.045,29.623,29.653
E2_armC_randomized_none,s3,otp,16KiB,16384,1000,0,3,31.525,29.660,33.554,59.459,29.641,29.685
E2_armC_randomized_none,s3,direct,128B,128,1000,0,4,11.981,11.903,12.137,14.219,11.895,11.910
E2_armC_randomized_none,s3,anon,16KiB,16384,1000,0,5,164.671,163.206,169.864,200.192,162.869,163.371
E2_armC_randomized_none,s3,otp,128B,128,1000,0,6,12.097,11.967,12.289,14.739,11.960,11.973
E2_armC_randomized_none,s3,anon,1KiB,1024,1000,0,7,22.846,22.611,23.725,26.884,22.591,22.634
E2_armC_randomized_none,s3,direct,1KiB,1024,1000,0,8,13.420,13.301,13.763,16.219,13.252,13.332
E2_armC_randomized_none,s3,otp,1KiB,1024,1000,0,9,13.320,13.146,13.493,18.110,13.139,13.154
E2_armC_randomized_none,s3,approval,1KiB,1024,1000,0,10,13.217,13.093,13.466,15.518,13.079,13.105
E2_armC_randomized_none,s3,approval,128B,128,1000,0,11,12.082,11.996,12.289,14.108,11.990,12.004
E2_armC_randomized_none,s4,otp,16KiB,16384,1000,0,0,38.755,30.165,44.152,60.957,30.094,30.216
E2_armC_randomized_none,s4,anon,16KiB,16384,1000,0,1,160.647,155.703,173.957,250.067,155.432,156.083
E2_armC_randomized_none,s4,approval,16KiB,16384,1000,0,2,30.417,28.915,33.585,54.825,28.899,28.930
E2_armC_randomized_none,s4,approval,128B,128,1000,0,3,12.230,11.915,13.555,18.719,11.909,11.921
E2_armC_randomized_none,s4,direct,1KiB,1024,1000,0,4,13.170,13.014,13.526,15.983,13.007,13.022
E2_armC_randomized_none,s4,otp,1KiB,1024,1000,0,5,13.347,13.150,13.854,17.387,13.145,13.156
E2_armC_randomized_none,s4,anon,128B,128,1000,0,6,14.482,13.580,20.766,25.043,13.573,13.588
E2_armC_randomized_none,s4,approval,1KiB,1024,1000,0,7,13.682,13.103,15.533,23.496,13.085,13.121
E2_armC_randomized_none,s4,direct,16KiB,16384,1000,0,8,30.295,28.827,32.039,56.301,28.806,28.841
E2_armC_randomized_none,s4,anon,1KiB,1024,1000,0,9,22.272,21.964,23.762,27.431,21.953,21.980
E2_armC_randomized_none,s4,otp,128B,128,1000,0,10,12.043,11.894,12.360,14.350,11.888,11.900
E2_armC_randomized_none,s4,direct,128B,128,1000,0,11,12.127,11.972,12.344,15.028,11.967,11.980
E2_armC_randomized_none,s5,otp,128B,128,1000,0,0,12.477,12.398,12.727,15.057,12.392,12.404
E2_armC_randomized_none,s5,anon,16KiB,16384,1000,0,1,159.460,155.141,167.003,190.547,154.871,155.465
E2_armC_randomized_none,s5,otp,1KiB,1024,1000,0,2,12.920,12.680,14.100,15.978,12.668,12.694
E2_armC_randomized_none,s5,direct,128B,128,1000,0,3,11.769,11.591,12.743,13.982,11.581,11.598
